year,hour,season,avg_load_mw,avg_wind_mw,avg_solar_mw,net_load_mw,season_min_net_load,evening_peak_net_load,duck_curve_depth_mw
2016,1,winter,32354.549584567703,6853.540971449758,108.56198244963541,25392.446630668313,24447.651108148897,32098.60960666876,7650.9584985198635
2016,2,winter,31657.75383178235,6853.540971449758,108.56198244963541,24695.650877882956,24447.651108148897,32098.60960666876,7650.9584985198635
2016,3,winter,31409.75406204829,6853.540971449758,108.56198244963541,24447.651108148897,24447.651108148897,32098.60960666876,7650.9584985198635
2016,4,winter,31586.769812397764,6853.540971449759,108.56198244963541,24624.666858498374,24447.651108148897,32098.60960666876,7650.9584985198635
2016,5,winter,32434.761809447944,6853.540971449758,108.56198244963541,25472.65885554855,24447.651108148897,32098.60960666876,7650.9584985198635
2016,6,winter,34535.31728463004,6853.540971449758,108.56198244963541,27573.21433073064,24447.651108148897,32098.60960666876,7650.9584985198635
2016,7,winter,37727.970125774445,6853.540971449759,108.56198244963538,30765.867171875056,24447.651108148897,32098.60960666876,7650.9584985198635
2016,8,winter,39004.70944849067,6853.540971449759,108.56198244963541,32042.60649459127,24447.651108148897,32098.60960666876,7650.9584985198635
2016,9,winter,38803.0601261645,6853.540971449758,108.56198244963541,31840.957172265098,24447.651108148897,32098.60960666876,7650.9584985198635
2016,10,winter,38578.19770203154,6853.540971449759,108.56198244963538,31616.094748132145,24447.651108148897,32098.60960666876,7650.9584985198635
2016,11,winter,38136.11370120323,6853.540971449758,108.56198244963541,31174.010747303833,24447.651108148897,32098.60960666876,7650.9584985198635
2016,12,winter,37497.59069716532,6853.540971449759,108.56198244963538,30535.487743265923,24447.651108148897,32098.60960666876,7650.9584985198635
2016,13,winter,36820.82911107862,6853.540971449759,108.56198244963538,29858.72615717923,24447.651108148897,32098.60960666876,7650.9584985198635
2016,14,winter,36309.458151206134,6853.540971449759,108.56198244963538,29347.355197306737,24447.651108148897,32098.60960666876,7650.9584985198635
2016,15,winter,35862.42638009608,6853.540971449758,108.56198244963541,28900.323426196686,24447.651108148897,32098.60960666876,7650.9584985198635
2016,16,winter,35649.95711800225,6853.540971449758,108.56198244963541,28687.854164102853,24447.651108148897,32098.60960666876,7650.9584985198635
2016,17,winter,35827.98456199082,6853.540971449759,108.56198244963541,28865.88160809143,24447.651108148897,32098.60960666876,7650.9584985198635
2016,18,winter,36927.47954722051,6853.540971449759,108.56198244963541,29965.376593321114,24447.651108148897,32098.60960666876,7650.9584985198635
2016,19,winter,38753.07576620017,6853.540971449758,108.56198244963541,31790.97281230077,24447.651108148897,32098.60960666876,7650.9584985198635
