datetime,year,month,day,hour,zone,load_mw
2021-02-02 03:00:00,2021,2,2,3,NCENT,11373.360837
2021-02-02 03:00:00,2021,2,2,3,WEST,1076.990479
2021-02-02 03:00:00,2021,2,2,3,TOTAL,37368.192696
2021-02-02 03:00:00,2021,2,2,3,FWEST,3744.719989
2021-02-02 04:00:00,2021,2,2,4,NORTH,744.11722
2021-02-02 04:00:00,2021,2,2,4,EAST,1603.79414
2021-02-02 04:00:00,2021,2,2,4,NCENT,11525.846351
2021-02-02 04:00:00,2021,2,2,4,COAST,10563.636145
2021-02-02 04:00:00,2021,2,2,4,FWEST,3747.162056
2021-02-02 04:00:00,2021,2,2,4,WEST,1094.175715
2021-02-02 04:00:00,2021,2,2,4,SCENT,5824.730219
2021-02-02 04:00:00,2021,2,2,4,SOUTH,2655.757307
2021-02-02 04:00:00,2021,2,2,4,TOTAL,37759.219153
2021-02-02 05:00:00,2021,2,2,5,FWEST,3765.174502
2021-02-02 05:00:00,2021,2,2,5,COAST,10870.356996
2021-02-02 05:00:00,2021,2,2,5,NCENT,12052.422506
2021-02-02 05:00:00,2021,2,2,5,TOTAL,39084.493247
2021-02-02 05:00:00,2021,2,2,5,NORTH,765.332574
2021-02-02 05:00:00,2021,2,2,5,SCENT,6059.992013
2021-02-02 05:00:00,2021,2,2,5,WEST,1136.761529
2021-02-02 05:00:00,2021,2,2,5,SOUTH,2748.869004
2021-02-02 05:00:00,2021,2,2,5,EAST,1685.584123
2021-02-02 06:00:00,2021,2,2,6,NCENT,13018.811101
2021-02-02 06:00:00,2021,2,2,6,EAST,1819.889326
2021-02-02 06:00:00,2021,2,2,6,COAST,11490.371732
2021-02-02 06:00:00,2021,2,2,6,NORTH,810.586797
2021-02-02 06:00:00,2021,2,2,6,TOTAL,41709.669441
2021-02-02 06:00:00,2021,2,2,6,WEST,1205.974023
2021-02-02 06:00:00,2021,2,2,6,FWEST,3788.200497
2021-02-02 06:00:00,2021,2,2,6,SOUTH,2974.377091
2021-02-02 06:00:00,2021,2,2,6,SCENT,6601.458874
2021-02-02 07:00:00,2021,2,2,7,SOUTH,3338.07288
2021-02-02 07:00:00,2021,2,2,7,WEST,1313.308993
2021-02-02 07:00:00,2021,2,2,7,NORTH,878.822382
2021-02-02 07:00:00,2021,2,2,7,EAST,2003.534187
2021-02-02 07:00:00,2021,2,2,7,SCENT,7392.844426
2021-02-02 07:00:00,2021,2,2,7,NCENT,14368.897162
2021-02-02 07:00:00,2021,2,2,7,COAST,12392.362097
2021-02-02 07:00:00,2021,2,2,7,TOTAL,45550.00162
2021-02-02 07:00:00,2021,2,2,7,FWEST,3862.159493
2021-02-02 08:00:00,2021,2,2,8,SCENT,7834.659682
2021-02-02 08:00:00,2021,2,2,8,COAST,12804.598463
2021-02-02 08:00:00,2021,2,2,8,FWEST,3870.452794
2021-02-02 08:00:00,2021,2,2,8,WEST,1356.788593
2021-02-02 08:00:00,2021,2,2,8,SOUTH,3540.910013
2021-02-02 08:00:00,2021,2,2,8,NCENT,15139.066254
2021-02-02 08:00:00,2021,2,2,8,EAST,2073.779736
2021-02-02 08:00:00,2021,2,2,8,NORTH,903.925544
2021-02-02 08:00:00,2021,2,2,8,TOTAL,47524.18108
2021-02-02 09:00:00,2021,2,2,9,WEST,1324.408859
2021-02-02 09:00:00,2021,2,2,9,FWEST,3830.343845
2021-02-02 09:00:00,2021,2,2,9,SCENT,7649.786966
2021-02-02 09:00:00,2021,2,2,9,NCENT,14872.516251
2021-02-02 09:00:00,2021,2,2,9,EAST,2014.338364
2021-02-02 09:00:00,2021,2,2,9,COAST,12805.058076
2021-02-02 09:00:00,2021,2,2,9,NORTH,890.014612
2021-02-02 09:00:00,2021,2,2,9,TOTAL,46870.082677
2021-02-02 09:00:00,2021,2,2,9,SOUTH,3483.615705
2021-02-02 10:00:00,2021,2,2,10,SOUTH,3284.835859
2021-02-02 10:00:00,2021,2,2,10,WEST,1253.286121
2021-02-02 10:00:00,2021,2,2,10,SCENT,7123.099529
2021-02-02 10:00:00,2021,2,2,10,NCENT,14104.798744
2021-02-02 10:00:00,2021,2,2,10,COAST,12551.339876
2021-02-02 10:00:00,2021,2,2,10,FWEST,3799.411287
2021-02-02 10:00:00,2021,2,2,10,EAST,1900.021426
2021-02-02 10:00:00,2021,2,2,10,TOTAL,44874.747474
2021-02-02 10:00:00,2021,2,2,10,NORTH,857.954632
2021-02-02 11:00:00,2021,2,2,11,SCENT,6652.232386
2021-02-02 11:00:00,2021,2,2,11,SOUTH,3101.763789
2021-02-02 11:00:00,2021,2,2,11,NORTH,824.666625
2021-02-02 11:00:00,2021,2,2,11,TOTAL,43099.261245
2021-02-02 11:00:00,2021,2,2,11,FWEST,3740.873632
2021-02-02 11:00:00,2021,2,2,11,COAST,12296.918914
2021-02-02 11:00:00,2021,2,2,11,NCENT,13533.17766
2021-02-02 11:00:00,2021,2,2,11,EAST,1759.502298
2021-02-02 11:00:00,2021,2,2,11,WEST,1190.125941
2021-02-02 12:00:00,2021,2,2,12,SOUTH,2952.953046
2021-02-02 12:00:00,2021,2,2,12,SCENT,6319.7584
2021-02-02 12:00:00,2021,2,2,12,COAST,12069.236835
2021-02-02 12:00:00,2021,2,2,12,NCENT,12923.230158
2021-02-02 12:00:00,2021,2,2,12,EAST,1655.808543
2021-02-02 12:00:00,2021,2,2,12,WEST,1134.811561
2021-02-02 12:00:00,2021,2,2,12,NORTH,784.054887
2021-02-02 12:00:00,2021,2,2,12,FWEST,3720.429509
2021-02-02 12:00:00,2021,2,2,12,TOTAL,41560.28294
2021-02-02 13:00:00,2021,2,2,13,WEST,1082.868417
2021-02-02 13:00:00,2021,2,2,13,NORTH,752.798931
2021-02-02 13:00:00,2021,2,2,13,EAST,1572.829642
2021-02-02 13:00:00,2021,2,2,13,FWEST,3683.170567
2021-02-02 13:00:00,2021,2,2,13,TOTAL,40168.67056
2021-02-02 13:00:00,2021,2,2,13,SOUTH,2859.968649
2021-02-02 13:00:00,2021,2,2,13,COAST,11824.893824
2021-02-02 13:00:00,2021,2,2,13,SCENT,6041.84579
2021-02-02 13:00:00,2021,2,2,13,NCENT,12350.29474
2021-02-02 14:00:00,2021,2,2,14,FWEST,3669.362001
2021-02-02 14:00:00,2021,2,2,14,WEST,1046.694821
2021-02-02 14:00:00,2021,2,2,14,SOUTH,2832.359062
2021-02-02 14:00:00,2021,2,2,14,EAST,1506.98605
2021-02-02 14:00:00,2021,2,2,14,COAST,11688.076598
2021-02-02 14:00:00,2021,2,2,14,NORTH,728.182145
2021-02-02 14:00:00,2021,2,2,14,NCENT,11879.261608
2021-02-02 14:00:00,2021,2,2,14,SCENT,5849.896599
2021-02-02 14:00:00,2021,2,2,14,TOTAL,39200.818885
2021-02-02 15:00:00,2021,2,2,15,SOUTH,2822.816263
2021-02-02 15:00:00,2021,2,2,15,COAST,11524.753264
2021-02-02 15:00:00,2021,2,2,15,FWEST,3645.568698
2021-02-02 15:00:00,2021,2,2,15,SCENT,5742.111761
2021-02-02 15:00:00,2021,2,2,15,NORTH,705.731106
2021-02-02 15:00:00,2021,2,2,15,NCENT,11460.589296
2021-02-02 15:00:00,2021,2,2,15,EAST,1457.026911
2021-02-02 15:00:00,2021,2,2,15,WEST,1017.181179
2021-02-02 15:00:00,2021,2,2,15,TOTAL,38375.778477
2021-02-02 16:00:00,2021,2,2,16,TOTAL,37947.652721
2021-02-02 16:00:00,2021,2,2,16,NORTH,697.270852
2021-02-02 16:00:00,2021,2,2,16,WEST,1007.278961
2021-02-02 16:00:00,2021,2,2,16,SOUTH,2847.347718
2021-02-02 16:00:00,2021,2,2,16,EAST,1431.444821
2021-02-02 16:00:00,2021,2,2,16,COAST,11420.175919
2021-02-02 16:00:00,2021,2,2,16,FWEST,3646.991849
2021-02-02 16:00:00,2021,2,2,16,SCENT,5738.580898
2021-02-02 16:00:00,2021,2,2,16,NCENT,11158.561704
2021-02-02 17:00:00,2021,2,2,17,SOUTH,2863.813988
2021-02-02 17:00:00,2021,2,2,17,COAST,11336.029893
2021-02-02 17:00:00,2021,2,2,17,FWEST,3643.840702
2021-02-02 17:00:00,2021,2,2,17,TOTAL,38022.812014
2021-02-02 17:00:00,2021,2,2,17,NCENT,11168.861656
2021-02-02 17:00:00,2021,2,2,17,NORTH,702.598196
2021-02-02 17:00:00,2021,2,2,17,EAST,1449.09968
2021-02-02 17:00:00,2021,2,2,17,SCENT,5840.144948
2021-02-02 17:00:00,2021,2,2,17,WEST,1018.422951
2021-02-02 18:00:00,2021,2,2,18,TOTAL,38649.10516
2021-02-02 18:00:00,2021,2,2,18,SCENT,6035.802911
2021-02-02 18:00:00,2021,2,2,18,WEST,1029.947558
2021-02-02 18:00:00,2021,2,2,18,NCENT,11521.456457
2021-02-02 18:00:00,2021,2,2,18,EAST,1520.343433
2021-02-02 18:00:00,2021,2,2,18,NORTH,727.651675
2021-02-02 18:00:00,2021,2,2,18,COAST,11332.843938
2021-02-02 18:00:00,2021,2,2,18,FWEST,3633.964558
2021-02-02 18:00:00,2021,2,2,18,SOUTH,2847.094631
2021-02-02 19:00:00,2021,2,2,19,TOTAL,40620.249954
2021-02-02 19:00:00,2021,2,2,19,NCENT,12319.522771
2021-02-02 19:00:00,2021,2,2,19,COAST,11673.032595
2021-02-02 19:00:00,2021,2,2,19,EAST,1644.748088
2021-02-02 19:00:00,2021,2,2,19,WEST,1089.514994
2021-02-02 19:00:00,2021,2,2,19,NORTH,773.702982
2021-02-02 19:00:00,2021,2,2,19,FWEST,3683.513684
2021-02-02 19:00:00,2021,2,2,19,SCENT,6450.117994
2021-02-02 19:00:00,2021,2,2,19,SOUTH,2986.096847
2021-02-02 20:00:00,2021,2,2,20,EAST,1694.01232
2021-02-02 20:00:00,2021,2,2,20,WEST,1112.285929
2021-02-02 20:00:00,2021,2,2,20,TOTAL,41050.389878
2021-02-02 20:00:00,2021,2,2,20,SOUTH,3068.936128
2021-02-02 20:00:00,2021,2,2,20,SCENT,6522.461754
2021-02-02 20:00:00,2021,2,2,20,NORTH,787.344009
2021-02-02 20:00:00,2021,2,2,20,NCENT,12493.530591
2021-02-02 20:00:00,2021,2,2,20,FWEST,3706.766262
2021-02-02 20:00:00,2021,2,2,20,COAST,11665.052885
2021-02-02 21:00:00,2021,2,2,21,COAST,11618.166424
2021-02-02 21:00:00,2021,2,2,21,SOUTH,3038.477179
2021-02-02 21:00:00,2021,2,2,21,EAST,1705.211022
2021-02-02 21:00:00,2021,2,2,21,FWEST,3707.132235
2021-02-02 21:00:00,2021,2,2,21,WEST,1110.969989
2021-02-02 21:00:00,2021,2,2,21,TOTAL,40810.020458
2021-02-02 21:00:00,2021,2,2,21,NCENT,12423.732206
2021-02-02 21:00:00,2021,2,2,21,NORTH,782.726444
2021-02-02 21:00:00,2021,2,2,21,SCENT,6423.604958
2021-02-02 22:00:00,2021,2,2,22,NCENT,12141.947407
2021-02-02 22:00:00,2021,2,2,22,EAST,1679.961514
2021-02-02 22:00:00,2021,2,2,22,NORTH,763.756353
2021-02-02 22:00:00,2021,2,2,22,FWEST,3706.290326
2021-02-02 22:00:00,2021,2,2,22,TOTAL,39923.359663
2021-02-02 22:00:00,2021,2,2,22,COAST,11360.494815
2021-02-02 22:00:00,2021,2,2,22,WEST,1094.639208
2021-02-02 22:00:00,2021,2,2,22,SOUTH,2949.524157
2021-02-02 22:00:00,2021,2,2,22,SCENT,6226.745884
